Sl.,District,Cross Breed,Bivoltine,Total,,
1,Bengaluru Rural,3426.141,298.371,3724.512,,
2,Bengaluru Urban,633.742,454.992,1088.734,,
3,Chikkaballapura,11224.199,559.05,11783.249,,
4,Chitradurga,253.867,393.6,647.467,,
5,Davanagere,19.02,174.724,193.744,,
6,Kolar,7664.741,1357.536,9022.277,,
7,Ramanagar,13986.999,658.173,14645.172,,
8,Shivamogga,14.081,82.902,96.983,,
9,Tumkur,1278.722,1444.021,2722.743,,
10,Chamarajanagar,213.474,38.606,252.080,,
11,Chikkamagaluru,0.307,16.606,16.913,,
12,Dakshina Kannada,0.000,1.327,1.327,,
13,Hassan,0.000,704.387,704.387,,
14,Kodagu,0.000,3.865,3.865,,
15,Mandya,15942.556,1244.733,17187.289,,
16,Mysuru,281.949,685.074,967.023,,
17,Udupi,0.000,2.306,2.306,,
18,Ballari,36.451,548.834,585.285,,
19,Bidar,0,196.566,196.566,,
20,Kalaburagi,1.853,214.342,216.195,,
21,Koppal,0.150,117.523,117.673,,
22,Raichur,0.000,208.91,208.910,,
23,Yadagiri,0.545,66.207,66.752,,
24,Bagalakote,5.729,251.338,257.067,,
25,Belagavi,17.987,310.685,328.672,,
26,Vijayapura,0.11,86.69,86.800,,
27,Dharawad,4.601,48.218,52.819,,
28,Gadaga,9.496,186.15,195.646,,
29,Haveri,65.952,708.441,774.393,,
30,Uttara Kannada,0.000,33.799,33.799,,
,Total ,55082.672,11097.976,66180.648,,
31,Mysuru Seed Area,651.946,,651.946,,
State Total,,55734.618,11097.976,66832.594,,
,,,,,,
