Sl. No.,District,Cross Breed,Bivoltine,Total,,
1,Bengaluru Rural,3804.072,313.463,4117.535,,
2,Bengaluru Urban,652.144,535.741,1187.885,,
3,Chikkaballapura,13960.505,544.049,14504.554,,
4,Chitradurga,270.060,581.576,851.636,,
5,Davanagere,46.795,322.620,369.415,,
6,Kolar,9698.336,1438.198,11136.534,,
7,Ramanagara,18928.106,873.056,19801.162,,
8,Shivamogga,11.405,95.544,106.949,,
9,Tumkuru,1490.915,1700.837,3191.752,,
10,Chamarajanagar,199.557,43.351,242.908,,
11,Chikkamagalur,0.000,20.481,20.481,,
12,Dakshina Kannada,0.000,1.167,1.167,,
13,Hassan,0.000,801.759,801.759,,
14,Kodagu,0.000,3.990,3.990,,
15,Mandya,18627.759,1571.264,20199.023,,
16,Mysuru,391.571,834.620,1226.191,,
17,Udupi,0.000,2.313,2.313,,
18,Ballari,34.986,887.2,922.186,,
19,Bidar,11.34,217.114,228.454,,
20,Kalaburagi,17.565,257.862,275.427,,
21,Koppal,1.287,156.909,158.196,,
22,Raichur,0.000,288.292,288.292,,
23,Yadagir,0.000,76.175,76.175,,
24,Bagalakote,11.101,346.373,357.474,,
25,Belagavi,38.843,472.09,510.933,,
26,Vijayapura,2.809,140.607,143.416,,
27,Dharawad,6.142,72.128,78.270,,
28,Gadag,8.788,256.985,265.773,,
29,Haveri,117.868,983.769,1101.637,,
30,Uttara Kannada,0.229,30.436,30.665,,
,Total ,68332.183,13869.969,82202.152,,
31,Mysuru Seed Area,814.530,0.000,814.530,,
State Total,,69146.713,13869.969,83016.682,,
,,,,,,
