Sl. No.,District,Cross Breed,Bivoltine,Total
1,Bengaluru Rural,3319.426,294.403,3613.829
2,Bengaluru Urban,596.928,575.493,1172.421
3,Chikkaballapura,11468.728,494.203,11962.931
4,Chitradurga,275.047,591.907,866.954
5,Davanagere,27.123,134.603,161.726
6,Kolar,7835.666,1356.500,9192.166
7,Ramanagara,18520.324,1154.616,19674.940
8,Shivamogga,7.283,80.187,87.470
9,Tumkuru,1136.556,1557.461,2694.017
10,Chamarajanagar,245.734,50.504,296.238
11,Chikkamagalur,0.000,36.577,36.577
12,Dakshina Kannada,0.000,1.017,1.017
13,Hassan,0.000,1003.278,1003.278
14,Kodagu,0.000,4.446,4.446
15,Mandya,21053.320,2090.989,23144.309
16,Mysuru,282.297,940.362,1222.659
17,Udupi,0.000,2.396,2.396
18,Ballari,14.989,1198.109,1213.098
19,Bidar,11.493,165.510,177.003
20,Kalaburagi,0.000,223.176,223.176
21,Koppal,0.000,152.429,152.429
22,Raichur,0.000,245.637,245.637
23,Yadagir,0.000,73.468,73.468
24,Bagalakote,3.092,344.111,347.203
25,Belagavi,20.568,490.329,510.897
26,Vijayapura,1.768,128.628,130.396
27,Dharawad,0.640,49.906,50.546
28,Gadag,0.000,263.659,263.659
29,Haveri,30.081,1161.984,1192.065
30,Uttara Kannada,0.000,20.021,20.021
,Total ,64851.063,14885.909,79736.972
31,Mysuru Seed Area,659.025,,659.025
State Total,,65510.088,14885.909,80395.997
,,,,
,,,,
,,,,
,,,,
,,,,
